,Date Created,Tweet Count,News Source,Tweet Text,Compound Score,Positive Score,Negative Score,Neutral Score
0,Sat Jan 06 23:57:10 +0000 2018,1,BBC,"RT @BBCScotland: Let this be a lesson to us all...how NOT to split the bill. 

From @MrQuippy https://t.co/wEGoJQm5Fe",0.0,0.0,1.0,0.0
1,Sat Jan 06 23:56:58 +0000 2018,2,BBC,RT @bbcthree: Kids discussing hipsters is as amazing as you'd expect. https://t.co/7ZlwQbc8Bw,0.5859,0.257,0.743,0.0
2,Sat Jan 06 23:56:09 +0000 2018,3,BBC,"RT @BBCScotland: Heroin exploded into housing schemes around Scotland in the early 80's changing policing and society forever.

Watch the f…",-0.4939,0.0,0.862,0.138
3,Sat Jan 06 23:55:08 +0000 2018,4,BBC,"RT @BBCMOTD: 🎶 Doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo… 🎶

#FACup third round day always throws up some stories - today…",0.0,0.0,1.0,0.0
4,Sat Jan 06 19:33:03 +0000 2018,5,BBC,"DCI Hicks and DI Renko stumble on a lethal secret that will bind them together for life. 

#HardSun | 9.35pm |… https://t.co/Tl7pjslOQZ",0.0,0.0,1.0,0.0
5,Sat Jan 06 19:01:04 +0000 2018,6,BBC,👰🤵🏆 @reallorraine and @RobBeckettComic present as couples and their families come together for a wedding day like n… https://t.co/acOWVTDVKy,0.3612,0.128,0.872,0.0
6,Sat Jan 06 18:32:03 +0000 2018,7,BBC,"Tonight, nature lover Hugh Fearnley-Whittingstall exlpores the wildlife of the West Country. 🐭🍃 

Hugh's Wild West… https://t.co/GvNEA0JNz7",0.5859,0.192,0.808,0.0
7,Sat Jan 06 17:59:01 +0000 2018,8,BBC,"We've made huge advances in eye care over the years, but will we ever be able to eliminate blindness? https://t.co/2IfDxktpiD",0.4118,0.172,0.828,0.0
8,Sat Jan 06 17:30:07 +0000 2018,9,BBC,"'You feel like you’re in outer space.’
How people in the Russian far east cope with living in -50 Celsius. ❄ https://t.co/YIgVe77Zey",0.3612,0.111,0.889,0.0
9,Sat Jan 06 17:00:09 +0000 2018,10,BBC,"Who will stand the test of time and be remembered in 1,000 years? https://t.co/VpoJ0hQMlP https://t.co/ON7WonHhEC",0.0,0.0,1.0,0.0
10,Sat Jan 06 16:45:03 +0000 2018,11,BBC,"Todogganing 🐶🏂
https://t.co/EFO7JRP77K",0.0,0.0,1.0,0.0
11,Sat Jan 06 16:30:04 +0000 2018,12,BBC,These women in Pakistan are learning Mixed Martial Arts to fight against sexual harassment. 👊 https://t.co/TOVvhUN3cv,-0.7269,0.0,0.681,0.319
12,Sat Jan 06 16:18:16 +0000 2018,13,BBC,RT @bbccomedy: Accidental likes? Buffering videos? Our parents have NO IDEA what we go through... 😭 https://t.co/E8R4OXVHcv,-0.2006,0.137,0.637,0.225
13,Sat Jan 06 16:03:04 +0000 2018,14,BBC,Scientists are using a common virus used to help fight incurable brain cancer. 🔬 https://t.co/koLrDckPs4 https://t.co/yHjxJONrqi,-0.6486,0.13,0.531,0.338
14,Sat Jan 06 15:33:03 +0000 2018,15,BBC,🐶🐱📆  Should workers be allowed 'paw-ternity leave' - paid time off to care for their pets? https://t.co/DUIlvg8MfD https://t.co/E0qGmCaicv,0.4588,0.165,0.773,0.062
15,Sat Jan 06 15:21:56 +0000 2018,16,BBC,RT @bbcworldservice: Why we can't resist puppy dog eyes. 🐶 📻 https://t.co/3tHzsHxw6O https://t.co/do6bcqnMQJ,0.0,0.0,1.0,0.0
16,Sat Jan 06 15:00:10 +0000 2018,17,BBC,Battle stations people! We may be heading for a chocolate crisis. 🍫😫 https://t.co/n1Hefd02KG https://t.co/fXS6mvx088,-0.7901,0.0,0.611,0.389
17,Sat Jan 06 14:00:04 +0000 2018,18,BBC,"What a polar bear cub sounds like. ❤️️
https://t.co/c8lWvBlo6U",0.3612,0.263,0.737,0.0
18,Sat Jan 06 13:00:08 +0000 2018,19,BBC,Want to help the wildlife in your backyard this winter? Here are some ideas for creating a 'winter menu’. 😋 https://t.co/1TG8z9n1wf,0.6369,0.279,0.721,0.0
19,Sat Jan 06 12:00:06 +0000 2018,20,BBC,Thousands of people have attempted to build the world's tallest Lego tower in memory of an eight-year-old cancer vi… https://t.co/mknHDReqM5,-0.6597,0.0,0.812,0.188
20,Sat Jan 06 23:57:10 +0000 2018,21,BBC,"RT @BBCScotland: Let this be a lesson to us all...how NOT to split the bill. 

From @MrQuippy https://t.co/wEGoJQm5Fe",0.0,0.0,1.0,0.0
21,Sat Jan 06 23:56:58 +0000 2018,22,BBC,RT @bbcthree: Kids discussing hipsters is as amazing as you'd expect. https://t.co/7ZlwQbc8Bw,0.5859,0.257,0.743,0.0
22,Sat Jan 06 23:56:09 +0000 2018,23,BBC,"RT @BBCScotland: Heroin exploded into housing schemes around Scotland in the early 80's changing policing and society forever.

Watch the f…",-0.4939,0.0,0.862,0.138
23,Sat Jan 06 23:55:08 +0000 2018,24,BBC,"RT @BBCMOTD: 🎶 Doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo… 🎶

#FACup third round day always throws up some stories - today…",0.0,0.0,1.0,0.0
24,Sat Jan 06 19:33:03 +0000 2018,25,BBC,"DCI Hicks and DI Renko stumble on a lethal secret that will bind them together for life. 

#HardSun | 9.35pm |… https://t.co/Tl7pjslOQZ",0.0,0.0,1.0,0.0
25,Sat Jan 06 19:01:04 +0000 2018,26,BBC,👰🤵🏆 @reallorraine and @RobBeckettComic present as couples and their families come together for a wedding day like n… https://t.co/acOWVTDVKy,0.3612,0.128,0.872,0.0
26,Sat Jan 06 18:32:03 +0000 2018,27,BBC,"Tonight, nature lover Hugh Fearnley-Whittingstall exlpores the wildlife of the West Country. 🐭🍃 

Hugh's Wild West… https://t.co/GvNEA0JNz7",0.5859,0.192,0.808,0.0
27,Sat Jan 06 17:59:01 +0000 2018,28,BBC,"We've made huge advances in eye care over the years, but will we ever be able to eliminate blindness? https://t.co/2IfDxktpiD",0.4118,0.172,0.828,0.0
28,Sat Jan 06 17:30:07 +0000 2018,29,BBC,"'You feel like you’re in outer space.’
How people in the Russian far east cope with living in -50 Celsius. ❄ https://t.co/YIgVe77Zey",0.3612,0.111,0.889,0.0
29,Sat Jan 06 17:00:09 +0000 2018,30,BBC,"Who will stand the test of time and be remembered in 1,000 years? https://t.co/VpoJ0hQMlP https://t.co/ON7WonHhEC",0.0,0.0,1.0,0.0
30,Sat Jan 06 16:45:03 +0000 2018,31,BBC,"Todogganing 🐶🏂
https://t.co/EFO7JRP77K",0.0,0.0,1.0,0.0
31,Sat Jan 06 16:30:04 +0000 2018,32,BBC,These women in Pakistan are learning Mixed Martial Arts to fight against sexual harassment. 👊 https://t.co/TOVvhUN3cv,-0.7269,0.0,0.681,0.319
32,Sat Jan 06 16:18:16 +0000 2018,33,BBC,RT @bbccomedy: Accidental likes? Buffering videos? Our parents have NO IDEA what we go through... 😭 https://t.co/E8R4OXVHcv,-0.2006,0.137,0.637,0.225
33,Sat Jan 06 16:03:04 +0000 2018,34,BBC,Scientists are using a common virus used to help fight incurable brain cancer. 🔬 https://t.co/koLrDckPs4 https://t.co/yHjxJONrqi,-0.6486,0.13,0.531,0.338
34,Sat Jan 06 15:33:03 +0000 2018,35,BBC,🐶🐱📆  Should workers be allowed 'paw-ternity leave' - paid time off to care for their pets? https://t.co/DUIlvg8MfD https://t.co/E0qGmCaicv,0.4588,0.165,0.773,0.062
35,Sat Jan 06 15:21:56 +0000 2018,36,BBC,RT @bbcworldservice: Why we can't resist puppy dog eyes. 🐶 📻 https://t.co/3tHzsHxw6O https://t.co/do6bcqnMQJ,0.0,0.0,1.0,0.0
36,Sat Jan 06 15:00:10 +0000 2018,37,BBC,Battle stations people! We may be heading for a chocolate crisis. 🍫😫 https://t.co/n1Hefd02KG https://t.co/fXS6mvx088,-0.7901,0.0,0.611,0.389
37,Sat Jan 06 14:00:04 +0000 2018,38,BBC,"What a polar bear cub sounds like. ❤️️
https://t.co/c8lWvBlo6U",0.3612,0.263,0.737,0.0
38,Sat Jan 06 13:00:08 +0000 2018,39,BBC,Want to help the wildlife in your backyard this winter? Here are some ideas for creating a 'winter menu’. 😋 https://t.co/1TG8z9n1wf,0.6369,0.279,0.721,0.0
39,Sat Jan 06 12:00:06 +0000 2018,40,BBC,Thousands of people have attempted to build the world's tallest Lego tower in memory of an eight-year-old cancer vi… https://t.co/mknHDReqM5,-0.6597,0.0,0.812,0.188
40,Sat Jan 06 23:57:10 +0000 2018,41,BBC,"RT @BBCScotland: Let this be a lesson to us all...how NOT to split the bill. 

From @MrQuippy https://t.co/wEGoJQm5Fe",0.0,0.0,1.0,0.0
41,Sat Jan 06 23:56:58 +0000 2018,42,BBC,RT @bbcthree: Kids discussing hipsters is as amazing as you'd expect. https://t.co/7ZlwQbc8Bw,0.5859,0.257,0.743,0.0
42,Sat Jan 06 23:56:09 +0000 2018,43,BBC,"RT @BBCScotland: Heroin exploded into housing schemes around Scotland in the early 80's changing policing and society forever.

Watch the f…",-0.4939,0.0,0.862,0.138
43,Sat Jan 06 23:55:08 +0000 2018,44,BBC,"RT @BBCMOTD: 🎶 Doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo… 🎶

#FACup third round day always throws up some stories - today…",0.0,0.0,1.0,0.0
44,Sat Jan 06 19:33:03 +0000 2018,45,BBC,"DCI Hicks and DI Renko stumble on a lethal secret that will bind them together for life. 

#HardSun | 9.35pm |… https://t.co/Tl7pjslOQZ",0.0,0.0,1.0,0.0
45,Sat Jan 06 19:01:04 +0000 2018,46,BBC,👰🤵🏆 @reallorraine and @RobBeckettComic present as couples and their families come together for a wedding day like n… https://t.co/acOWVTDVKy,0.3612,0.128,0.872,0.0
46,Sat Jan 06 18:32:03 +0000 2018,47,BBC,"Tonight, nature lover Hugh Fearnley-Whittingstall exlpores the wildlife of the West Country. 🐭🍃 

Hugh's Wild West… https://t.co/GvNEA0JNz7",0.5859,0.192,0.808,0.0
47,Sat Jan 06 17:59:01 +0000 2018,48,BBC,"We've made huge advances in eye care over the years, but will we ever be able to eliminate blindness? https://t.co/2IfDxktpiD",0.4118,0.172,0.828,0.0
48,Sat Jan 06 17:30:07 +0000 2018,49,BBC,"'You feel like you’re in outer space.’
How people in the Russian far east cope with living in -50 Celsius. ❄ https://t.co/YIgVe77Zey",0.3612,0.111,0.889,0.0
49,Sat Jan 06 17:00:09 +0000 2018,50,BBC,"Who will stand the test of time and be remembered in 1,000 years? https://t.co/VpoJ0hQMlP https://t.co/ON7WonHhEC",0.0,0.0,1.0,0.0
50,Sat Jan 06 16:45:03 +0000 2018,51,BBC,"Todogganing 🐶🏂
https://t.co/EFO7JRP77K",0.0,0.0,1.0,0.0
51,Sat Jan 06 16:30:04 +0000 2018,52,BBC,These women in Pakistan are learning Mixed Martial Arts to fight against sexual harassment. 👊 https://t.co/TOVvhUN3cv,-0.7269,0.0,0.681,0.319
52,Sat Jan 06 16:18:16 +0000 2018,53,BBC,RT @bbccomedy: Accidental likes? Buffering videos? Our parents have NO IDEA what we go through... 😭 https://t.co/E8R4OXVHcv,-0.2006,0.137,0.637,0.225
53,Sat Jan 06 16:03:04 +0000 2018,54,BBC,Scientists are using a common virus used to help fight incurable brain cancer. 🔬 https://t.co/koLrDckPs4 https://t.co/yHjxJONrqi,-0.6486,0.13,0.531,0.338
54,Sat Jan 06 15:33:03 +0000 2018,55,BBC,🐶🐱📆  Should workers be allowed 'paw-ternity leave' - paid time off to care for their pets? https://t.co/DUIlvg8MfD https://t.co/E0qGmCaicv,0.4588,0.165,0.773,0.062
55,Sat Jan 06 15:21:56 +0000 2018,56,BBC,RT @bbcworldservice: Why we can't resist puppy dog eyes. 🐶 📻 https://t.co/3tHzsHxw6O https://t.co/do6bcqnMQJ,0.0,0.0,1.0,0.0
56,Sat Jan 06 15:00:10 +0000 2018,57,BBC,Battle stations people! We may be heading for a chocolate crisis. 🍫😫 https://t.co/n1Hefd02KG https://t.co/fXS6mvx088,-0.7901,0.0,0.611,0.389
57,Sat Jan 06 14:00:04 +0000 2018,58,BBC,"What a polar bear cub sounds like. ❤️️
https://t.co/c8lWvBlo6U",0.3612,0.263,0.737,0.0
58,Sat Jan 06 13:00:08 +0000 2018,59,BBC,Want to help the wildlife in your backyard this winter? Here are some ideas for creating a 'winter menu’. 😋 https://t.co/1TG8z9n1wf,0.6369,0.279,0.721,0.0
59,Sat Jan 06 12:00:06 +0000 2018,60,BBC,Thousands of people have attempted to build the world's tallest Lego tower in memory of an eight-year-old cancer vi… https://t.co/mknHDReqM5,-0.6597,0.0,0.812,0.188
60,Sat Jan 06 23:57:10 +0000 2018,61,BBC,"RT @BBCScotland: Let this be a lesson to us all...how NOT to split the bill. 

From @MrQuippy https://t.co/wEGoJQm5Fe",0.0,0.0,1.0,0.0
61,Sat Jan 06 23:56:58 +0000 2018,62,BBC,RT @bbcthree: Kids discussing hipsters is as amazing as you'd expect. https://t.co/7ZlwQbc8Bw,0.5859,0.257,0.743,0.0
62,Sat Jan 06 23:56:09 +0000 2018,63,BBC,"RT @BBCScotland: Heroin exploded into housing schemes around Scotland in the early 80's changing policing and society forever.

Watch the f…",-0.4939,0.0,0.862,0.138
63,Sat Jan 06 23:55:08 +0000 2018,64,BBC,"RT @BBCMOTD: 🎶 Doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo… 🎶

#FACup third round day always throws up some stories - today…",0.0,0.0,1.0,0.0
64,Sat Jan 06 19:33:03 +0000 2018,65,BBC,"DCI Hicks and DI Renko stumble on a lethal secret that will bind them together for life. 

#HardSun | 9.35pm |… https://t.co/Tl7pjslOQZ",0.0,0.0,1.0,0.0
65,Sat Jan 06 19:01:04 +0000 2018,66,BBC,👰🤵🏆 @reallorraine and @RobBeckettComic present as couples and their families come together for a wedding day like n… https://t.co/acOWVTDVKy,0.3612,0.128,0.872,0.0
66,Sat Jan 06 18:32:03 +0000 2018,67,BBC,"Tonight, nature lover Hugh Fearnley-Whittingstall exlpores the wildlife of the West Country. 🐭🍃 

Hugh's Wild West… https://t.co/GvNEA0JNz7",0.5859,0.192,0.808,0.0
67,Sat Jan 06 17:59:01 +0000 2018,68,BBC,"We've made huge advances in eye care over the years, but will we ever be able to eliminate blindness? https://t.co/2IfDxktpiD",0.4118,0.172,0.828,0.0
68,Sat Jan 06 17:30:07 +0000 2018,69,BBC,"'You feel like you’re in outer space.’
How people in the Russian far east cope with living in -50 Celsius. ❄ https://t.co/YIgVe77Zey",0.3612,0.111,0.889,0.0
69,Sat Jan 06 17:00:09 +0000 2018,70,BBC,"Who will stand the test of time and be remembered in 1,000 years? https://t.co/VpoJ0hQMlP https://t.co/ON7WonHhEC",0.0,0.0,1.0,0.0
70,Sat Jan 06 16:45:03 +0000 2018,71,BBC,"Todogganing 🐶🏂
https://t.co/EFO7JRP77K",0.0,0.0,1.0,0.0
71,Sat Jan 06 16:30:04 +0000 2018,72,BBC,These women in Pakistan are learning Mixed Martial Arts to fight against sexual harassment. 👊 https://t.co/TOVvhUN3cv,-0.7269,0.0,0.681,0.319
72,Sat Jan 06 16:18:16 +0000 2018,73,BBC,RT @bbccomedy: Accidental likes? Buffering videos? Our parents have NO IDEA what we go through... 😭 https://t.co/E8R4OXVHcv,-0.2006,0.137,0.637,0.225
73,Sat Jan 06 16:03:04 +0000 2018,74,BBC,Scientists are using a common virus used to help fight incurable brain cancer. 🔬 https://t.co/koLrDckPs4 https://t.co/yHjxJONrqi,-0.6486,0.13,0.531,0.338
74,Sat Jan 06 15:33:03 +0000 2018,75,BBC,🐶🐱📆  Should workers be allowed 'paw-ternity leave' - paid time off to care for their pets? https://t.co/DUIlvg8MfD https://t.co/E0qGmCaicv,0.4588,0.165,0.773,0.062
75,Sat Jan 06 15:21:56 +0000 2018,76,BBC,RT @bbcworldservice: Why we can't resist puppy dog eyes. 🐶 📻 https://t.co/3tHzsHxw6O https://t.co/do6bcqnMQJ,0.0,0.0,1.0,0.0
76,Sat Jan 06 15:00:10 +0000 2018,77,BBC,Battle stations people! We may be heading for a chocolate crisis. 🍫😫 https://t.co/n1Hefd02KG https://t.co/fXS6mvx088,-0.7901,0.0,0.611,0.389
77,Sat Jan 06 14:00:04 +0000 2018,78,BBC,"What a polar bear cub sounds like. ❤️️
https://t.co/c8lWvBlo6U",0.3612,0.263,0.737,0.0
78,Sat Jan 06 13:00:08 +0000 2018,79,BBC,Want to help the wildlife in your backyard this winter? Here are some ideas for creating a 'winter menu’. 😋 https://t.co/1TG8z9n1wf,0.6369,0.279,0.721,0.0
79,Sat Jan 06 12:00:06 +0000 2018,80,BBC,Thousands of people have attempted to build the world's tallest Lego tower in memory of an eight-year-old cancer vi… https://t.co/mknHDReqM5,-0.6597,0.0,0.812,0.188
80,Sat Jan 06 23:57:10 +0000 2018,81,BBC,"RT @BBCScotland: Let this be a lesson to us all...how NOT to split the bill. 

From @MrQuippy https://t.co/wEGoJQm5Fe",0.0,0.0,1.0,0.0
81,Sat Jan 06 23:56:58 +0000 2018,82,BBC,RT @bbcthree: Kids discussing hipsters is as amazing as you'd expect. https://t.co/7ZlwQbc8Bw,0.5859,0.257,0.743,0.0
82,Sat Jan 06 23:56:09 +0000 2018,83,BBC,"RT @BBCScotland: Heroin exploded into housing schemes around Scotland in the early 80's changing policing and society forever.

Watch the f…",-0.4939,0.0,0.862,0.138
